tconst,primaryTitle,startYear,averageRating,numVotes
tt0120338,Titanic,1997,8.0,1401388
tt2015381,Guardians of the Galaxy,2014,8.0,1370677
tt1431045,Deadpool,2016,8.0,1261006
tt1160419,Dune: Part One,2021,8.0,1073904
tt3659388,The Martian,2015,8.0,1019778
tt1663202,The Revenant,2015,8.0,954783
tt0246578,Donnie Darko,2001,8.0,915007
tt1010048,Slumdog Millionaire,2008,8.0,912407
tt0317705,The Incredibles,2004,8.0,907887
tt0947798,Black Swan,2010,8.0,892869
tt2084970,The Imitation Game,2014,8.0,881137
tt0378194,Kill Bill: Vol. 2,2004,8.0,874364
tt0401792,Sin City,2005,8.0,822068
tt3783958,La La Land,2016,8.0,769427
tt1856101,Blade Runner 2049,2017,8.0,760098
tt0381061,Casino Royale,2006,8.0,749549
tt0107048,Groundhog Day,1993,8.0,738188
tt1504320,The King's Speech,2010,8.0,734629
tt1798709,Her,2013,8.0,729924
tt0758758,Into the Wild,2007,8.0,697297
tt0440963,The Bourne Ultimatum,2007,8.0,685927
tt0114746,12 Monkeys,1995,8.0,681505
tt2948356,Zootopia,2016,8.0,643046
tt0450259,Blood Diamond,2006,8.0,627977
tt0454921,The Pursuit of Happyness,2006,8.0,625752
tt0095953,Rain Man,1988,8.0,586696
tt0101414,Beauty and the Beast,1991,8.0,507329
tt0103639,Aladdin,1992,8.0,502831
tt0093779,The Princess Bride,1987,8.0,488161
tt0091763,Platoon,1986,8.0,473764
tt2948372,Soul,2020,8.0,453149
tt0079470,Monty Python's Life of Brian,1979,8.0,434777
tt0105323,Scent of a Woman,1992,8.0,373577
tt0175880,Magnolia,1999,8.0,351105
tt0099348,Dances with Wolves,1990,8.0,311544
tt0061722,The Graduate,1967,8.0,302786
tt0072890,Dog Day Afternoon,1975,8.0,292702
tt0245712,Amores Perros,2000,8.0,271873
tt3741834,Lion,2016,8.0,267642
tt0063522,Rosemary's Baby,1968,8.0,259370
tt0083987,Gandhi,1982,8.0,246450
tt1220719,Ip Man,2008,8.0,244327
tt0064115,Butch Cassidy and the Sundance Kid,1969,8.0,238862
tt10366460,CODA,2021,8.0,230277
tt0094625,Akira,1988,8.0,228892
tt4857264,The Invisible Guest,2016,8.0,214973
tt0063442,Planet of the Apes,1968,8.0,210304
tt0352248,Cinderella Man,2005,8.0,209951
tt0092067,Castle in the Sky,1986,8.0,199380
tt0087544,Nausicaä of the Valley of the Wind,1984,8.0,198188
tt0061512,Cool Hand Luke,1967,8.0,196683
tt0118694,In the Mood for Love,2000,8.0,189892
tt0102138,JFK,1991,8.0,182512
tt0072431,Young Frankenstein,1974,8.0,180905
tt0276919,Dogville,2003,8.0,168140
tt0032976,Rebecca,1940,8.0,161583
tt0046250,Roman Holiday,1953,8.0,158040
tt0079944,Stalker,1979,8.0,156847
tt2631186,Baahubali: The Beginning,2015,8.0,155308
tt0070511,Papillon,1973,8.0,146260
tt0060827,Persona,1966,8.0,141282
tt0338564,Infernal Affairs,2002,8.0,138732
tt0053198,The 400 Blows,1959,8.0,135022
tt0056801,8½,1963,8.0,133191
tt8613070,Portrait of a Lady on Fire,2019,8.0,128801
tt0156887,Perfect Blue,1997,8.0,124561
tt0861739,Elite Squad,2007,8.0,120167
tt0401383,The Diving Bell and the Butterfly,2007,8.0,113011
tt0166896,The Straight Story,1999,8.0,108790
tt0048424,The Night of the Hunter,1955,8.0,108445
tt0808417,Persepolis,2007,8.0,106585
tt0117666,Sling Blade,1996,8.0,104331
tt0154420,The Celebration,1998,8.0,100297
tt1555149,Elite Squad 2: The Enemy Within,2010,8.0,92567
tt0374546,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,91150
tt11555492,Farha,2021,8.0,91045
tt0084503,Pink Floyd: The Wall,1982,8.0,90201
tt0053779,La Dolce Vita,1960,8.0,86160
tt0112870,Dilwale Dulhania Le Jayenge,1995,8.0,86151
