tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt0105695,Unforgiven,1992,8.2,469991,Q104137,0.0040473648167602,159.0,47.0
tt0052357,Vertigo,1958,8.2,460186,Q202548,0.0020980419287057,160.0,190.0
tt12042730,Project Hail Mary,2026,8.2,435377,Q107105860,0.0009456636395593,161.0,362.0
tt0363163,Downfall,2004,8.2,401857,Q152857,0.0014814430906848,162.0,286.0
tt0031381,Gone with the Wind,1939,8.2,356830,Q2875,0.0034791503502516,163.0,76.0
tt0056592,To Kill a Mockingbird,1962,8.2,351734,Q177922,0.0007194526763824,164.0,416.0
tt0053291,Some Like It Hot,1959,8.2,305698,Q190086,0.001289801442123,165.0,314.0
tt0070735,The Sting,1973,8.2,303537,Q62665,0.0026047355953452,166.0,140.0
tt0059578,For a Few Dollars More,1965,8.2,301632,Q153677,0.0007390371617769,167.0,411.0
tt0080678,The Elephant Man,1980,8.2,282544,Q272860,0.0023694921863444,168.0,161.0
tt0057115,The Great Escape,1963,8.2,278531,Q110354,0.0006447334942199,169.0,431.0
tt10272386,The Father,2020,8.2,247116,Q65066669,0.0012009693206463,170.0,326.0
tt1305806,The Secret in Their Eyes,2009,8.2,243623,Q748851,0.0013255157150182,171.0,310.0
tt4729430,Klaus,2019,8.2,239400,Q67208596,0.0014717384518944,172.0,289.0
tt29623480,The Wild Robot,2024,8.2,230751,Q124378349,0.0016667006357888,173.0,257.0
tt0017136,Metropolis,1927,8.2,202037,Q151599,0.0021876621041041,174.0,183.0
tt0040522,Bicycle Thieves,1948,8.2,192254,Q172837,0.0045777590763275,175.0,31.0
tt10698680,K.G.F: Chapter 2,2022,8.2,170745,Q67200663,0.001309410385586,176.0,312.0
tt0089881,Ran,1985,8.2,153080,Q565231,0.0040468281395127,177.0,48.0
tt0042192,All About Eve,1950,8.2,149855,Q200299,0.0036862461923195,178.0,66.0
tt0012349,The Kid,1921,8.2,146245,Q374172,0.0018043005123552,179.0,236.0
tt5323662,A Silent Voice: The Movie,2016,8.2,145943,Q23925035,0.0005564814084539,180.0,452.0
tt0055630,Yojimbo,1961,8.2,143800,Q20475,0.0013931798753627,181.0,302.0
tt0040897,The Treasure of the Sierra Madre,1948,8.2,142010,Q251559,0.0028342192949354,182.0,119.0
tt4849438,Baahubali 2: The Conclusion,2017,8.2,135383,Q21001674,0.0036776586034943,183.0,67.0
tt8108198,Andhadhun,2018,8.2,117173,Q44612834,0.0025700364957165,184.0,143.0
tt1954470,Gangs of Wasseypur,2012,8.2,114968,Q21001632,0.0013182869673887,185.0,311.0
tt4430212,Drishyam,2015,8.2,110006,Q19824636,0.0005832513978537,186.0,447.0
tt0367110,Swades,2004,8.2,106655,Q1759650,0.0005341090225434,187.0,458.0
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,101966,Q96376192,0.0008364116001715,188.0,388.0
tt0476735,My Father and My Son,2005,8.2,101450,Q797577,0.0005152194317351,189.0,460.0
tt0374887,Munna Bhai M.B.B.S.,2003,8.2,98841,Q262778,0.0023000448701048,190.0,172.0
tt1562872,Zindagi Na Milegi Dobara,2011,8.2,96643,Q3067642,0.0028060523614283,191.0,122.0
tt0118849,Children of Heaven,1997,8.2,90608,Q339804,0.000891747322983,192.0,378.0
tt8291224,Uri: The Surgical Strike,2019,8.2,84696,Q58411644,0.0012350201230677,193.0,323.0
tt1645089,Inside Job,2010,8.2,82659,Q645931,0.0015831435369402,194.0,265.0
tt0242519,Hera Pheri,2000,8.2,81255,Q5732486,0.0004529126130396,195.0,470.0
tt2356180,Bhaag Milkha Bhaag,2013,8.2,79457,Q4900468,0.0036368894023558,196.0,70.0
tt2125608,Searching for Sugar Man,2012,8.2,76561,Q287708,0.0022327977867177,197.0,179.0
tt8239946,Tumbbad,2018,8.2,76314,Q56279881,0.0004529126130396,198.0,471.0
tt39139925,Dhurandhar: The Revenge,2026,8.2,67179,Q137998501,0.0015045765709502,199.0,278.0
tt10431500,Miracle in Cell No. 7,2019,8.2,63457,Q73804850,0.000976412303107,200.0,357.0
tt30953759,No Other Land,2024,8.2,55835,Q124440294,0.0018465959543567,201.0,225.0
tt6148156,Vikram Vedha,2017,8.2,55724,Q27963176,0.000603677847384,202.0,441.0
tt15501640,Drishyam 2,2022,8.2,52588,Q112665700,0.0024513200400478,203.0,154.0
tt0264464,Catch Me If You Can,2002,8.1,1251096,Q208108,0.0010357714933126,204.0,348.0
tt0434409,V for Vendetta,2005,8.1,1250508,Q5890,0.0008250674107245,205.0,394.0
tt1392190,Mad Max: Fury Road,2015,8.1,1212340,Q1757288,0.0046873861690333,206.0,27.0
tt2267998,Gone Girl,2014,8.1,1177477,Q14920425,0.0006891716491121,207.0,422.0
tt0198781,"Monsters, Inc.",2001,8.1,1081613,Q187726,0.0010715241238625,208.0,341.0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1052932,Q232009,0.0034626825289741,209.0,79.0
tt10872600,Spider-Man: No Way Home,2021,8.1,1033840,Q68934496,0.0021298264796015,210.0,187.0
tt0088247,The Terminator,1984,8.1,1010091,Q162255,0.0013991344452361,211.0,301.0
tt2278388,The Grand Budapest Hotel,2014,8.1,978254,Q3521099,0.002742760382856,212.0,127.0
tt0382932,Ratatouille,2007,8.1,953816,Q170035,0.0019734401499156,213.0,210.0
tt3315342,Logan,2017,8.1,931476,Q24053263,0.0011894590929278,214.0,328.0
tt2096673,Inside Out,2015,8.1,923227,Q6144664,0.0022997018491826,215.0,173.0
tt0118715,The Big Lebowski,1998,8.1,919772,Q337078,0.0007499826619474,216.0,405.0
tt0892769,How to Train Your Dragon,2010,8.1,900750,Q373096,0.0018433182961453,217.0,227.0
tt0083658,Blade Runner,1982,8.1,885051,Q184843,0.002520290012976,218.0,145.0
tt1205489,Gran Torino,2008,8.1,865617,Q126699,0.0033237230884347,219.0,83.0
tt0116282,Fargo,1996,8.1,790457,Q222720,0.0040429732737545,220.0,49.0
tt2024544,12 Years a Slave,2013,8.1,790101,Q3023357,0.0056906245589243,221.0,9.0
tt0117951,Trainspotting,1996,8.1,770667,Q109135,0.0017686617529013,222.0,246.0
tt0405159,Million Dollar Baby,2004,8.1,769221,Q184255,0.0047630333063429,223.0,23.0
tt0073195,Jaws,1975,8.1,743415,Q189505,0.0015019826424257,224.0,279.0
tt0075148,Rocky,1976,8.1,694404,Q188652,0.0046137683158474,225.0,30.0
tt2119532,Hacksaw Ridge,2016,8.1,687799,Q21010856,0.0015396590471933,226.0,270.0
tt0097165,Dead Poets Society,1989,8.1,660111,Q106316,0.0031047429264747,227.0,100.0
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.1,651077,Q851095,0.0011617422581087,228.0,332.0
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,611329,Q24053277,0.0052275888401501,229.0,17.0
tt0071853,Monty Python and the Holy Grail,1975,8.1,604932,Q25043,0.0005973142413386,230.0,443.0
tt1950186,Ford v Ferrari,2019,8.1,577966,Q55081822,0.0012679071223037,231.0,315.0
tt1979320,Rush,2013,8.1,562318,Q1768437,0.0005930615197814,232.0,444.0
tt1895587,Spotlight,2015,8.1,537617,Q18154496,0.0045028237980097,233.0,33.0
tt1291584,Warrior,2011,8.1,530907,Q1415964,0.0004529126130396,234.0,472.0
tt1454029,The Help,2011,8.1,530395,Q204374,0.0015091691928762,235.0,277.0
tt0070047,The Exorcist,1973,8.1,500546,Q274167,0.002417178128279,236.0,159.0
tt0092005,Stand by Me,1986,8.1,490329,Q494722,0.0013508618838067,237.0,305.0
tt0032138,The Wizard of Oz,1939,8.1,469727,Q193695,0.0009984172020077,238.0,353.0
tt0096283,My Neighbor Totoro,1988,8.1,435322,Q39571,0.0020001170213844,239.0,205.0
tt0081398,Raging Bull,1980,8.1,411624,Q220780,0.002436164392824,240.0,155.0
tt0395169,Hotel Rwanda,2004,8.1,393219,Q223884,0.001482656430102,241.0,285.0
tt0077416,The Deer Hunter,1978,8.1,387403,Q201674,0.0038647321372536,242.0,57.0
